level_0,mid,value_col,iso_code,model_type,R2,MAE,MSE,RMSE,R2_train,MAE_train,MSE_train,RMSE_train,Year,lower,upper,transform,excess,country_name,continent,excess_category
20,1,2,BIH,SVR_RBF,,0.30901863396649487,0.30901863396649487,0.09549251613851854,0.9871142268521735,0.0790341328070522,0.10789958643808685,0.011642320753510176,2020,0,0,log transform,1,Bosnia and Herzegovina,Europe,1. 0 to <100
173,55,56,UKR,SVR_RBF,,0.425982962128705,0.425982962128705,0.18146148402394574,0.9826539342484928,0.08198340260576469,0.09867261625307731,0.009736285198227057,2020,0,0,log transform,1,Ukraine,Europe,1. 0 to <100
179,7,8,VUT,SVR_RBF,,0.08456764536311656,0.08456764536311656,0.0071516866422618505,0.6070620069465681,0.0533542558393452,0.06001565750184541,0.0036018791453788137,2020,0,0,log transform,1,Vanuatu,Oceania,1. 0 to <100
47,55,56,DJI,SVR_RBF,,0.00982477749514743,0.00982477749514743,9.65262528291554e-05,0.9696927120381804,0.05422177173264297,0.06163262464167668,0.003798580420221812,2020,0,0,log transform,1,Djibouti,Africa,1. 0 to <100
100,3,4,MDV,SVR_RBF,,0.5060413575965859,0.5060413575965859,0.2560778555981957,0.9912338615004181,0.057828128728388425,0.0666831756624917,0.004446645916434726,2020,0,0,log transform,1,Maldives,Asia,1. 0 to <100
43,3,4,CZE,SVR_RBF,,0.30022405672710106,0.30022405672710106,0.0901344842376776,0.975945861845956,0.07813604821708121,0.09026148130936917,0.008147135008161601,2020,0,0,log transform,1,Czechia,Europe,1. 0 to <100
1,1,2,ALB,SVR_RBF,,0.714152104231804,0.714152104231804,0.5100132279787134,0.9936457389150677,0.06399010637077339,0.08004672644265379,0.0064074784141850485,2020,0,0,log transform,1,Albania,Europe,1. 0 to <100
79,3,5,ISR,SVR_RBF,,0.6162737773031102,0.6162737773031102,0.3797933685914434,0.994717030196199,0.05189208764192691,0.06273305697141553,0.003935436436978866,2020,0,0,log transform,2,Israel,Asia,1. 0 to <100
139,7,9,STP,SVR_RBF,,0.13711931055331528,0.13711931055331528,0.018801705326616517,0.4664671673116081,0.05572620141297887,0.06616510210494456,0.004377820736557738,2020,0,0,log transform,2,Sao Tome and Principe,Africa,1. 0 to <100
84,55,57,KAZ,SVR_RBF,,0.4192943238085247,0.4192943238085247,0.17580772997804797,0.9901542115221513,0.06177693954787108,0.07111250613503153,0.005056988528804897,2020,0,0,log transform,2,Kazakhstan,Asia,1. 0 to <100
42,7,9,CYP,SVR_RBF,,0.6342454669301341,0.6342454669301341,0.40226731232142376,0.9102723130087824,0.0595449910231736,0.0672707240626712,0.00452535031591605,2020,0,0,log transform,2,Cyprus,Asia,1. 0 to <100
130,7,9,PRI,SVR_RBF,,0.623961741594647,0.623961741594647,0.38932825497382506,0.9757631886707846,0.058679792294336966,0.07391412579043202,0.0054632979913638085,2020,0,0,log transform,2,Puerto Rico,North America,1. 0 to <100
174,7,9,ARE,SVR_RBF,,0.015514065058274795,0.015514065058274795,0.00024068621463238293,0.6654749951912262,0.06577737812297757,0.07496562821291619,0.005619845413357176,2020,0,0,log transform,2,United Arab Emirates,Asia,1. 0 to <100
64,3,6,GRC,SVR_RBF,,0.5453122512569555,0.5453122512569555,0.29736545137092896,0.9429205380074546,0.0499387330410525,0.059183388192640865,0.003502673437960822,2020,0,0,log transform,3,Greece,Europe,1. 0 to <100
126,403,406,PER,SVR_RBF,,0.3662748701111882,0.3662748701111882,0.13415728047496778,0.9856361317129895,0.06401852755589117,0.07211909402586662,0.005201163723111791,2020,0,0,log transform,3,Peru,South America,1. 0 to <100
6,7,10,ARM,SVR_RBF,,0.17454049815245787,0.17454049815245787,0.03046438549530815,0.9826438071739563,0.061468230416679176,0.0702471759816926,0.004934665733402889,2020,0,0,log transform,3,Armenia,Asia,1. 0 to <100
